vari,deli,beta0,beta1,R2
a,1401,0.00457924929267823,0.9875496363619967,0.9740641579948472
a,1403,0.00793877862525499,0.9877359448152419,0.964157047686153
a,1405,0.0059418428291706325,0.9899925726384116,0.9817409229878858
a,1407,0.011627218442423282,0.9767966778420125,0.9628763226206851
a,1409,0.0068647373922074845,0.9797439999991867,0.9737571945730098
a,1411,0.016104614763525926,0.9597026033324352,0.9257090992106566
a,1501,0.008863015678606397,0.9834699639349818,0.9630760284673395
a,1503,0.010883491351284962,0.9785447797986941,0.9435307349430411
a,1505,0.00787525786497791,0.9846012024851395,0.9654276669771135
a,1507,0.008551442238175765,0.9823930960986769,0.9610631469644983
a,1509,0.003395826216168605,0.9912829604812109,0.9761692806954501
a,1511,0.000693558527637788,0.9951306727492165,0.9818209926964485
a,1601,-0.0007708482661405976,0.9978662725135122,0.9861759168818354
a,1603,-0.0006627085645256985,0.997127156011019,0.9891423390196463
a,1605,-0.0004839764870548524,0.9980089183125097,0.9944787864748418
a,1607,0.0014835343816336196,0.9950269015406661,0.99257977637999
a,1609,7.781018488295962e-05,0.9962089691142345,0.9926762762707395
a,1611,0.0022969931080736835,0.9899950487772218,0.9878722724948846
a,1701,0.003392080602465073,0.9908840068187876,0.9851949346221707
a,1703,0.0077584140705490275,0.9792943378201068,0.9690648634811505
a,1705,0.004254149588857138,0.9892826421572192,0.9786262049116534
a,1707,0.010643828190426394,0.9798737000991683,0.9658203639177301
a,1709,0.012038802624540768,0.9755830600519182,0.9615580271927956
a,1711,0.007198360090008443,0.9823458011264631,0.9532027391238133
ag,1401,0.0005829070344192948,0.987265010231108,0.9909374219134898
ag,1402,0.002079711468234491,0.9814150179945509,0.9874665555599944
ag,1403,0.004170651010989415,0.9694306869785454,0.9794130465354489
ag,1404,0.01031512855050991,0.9627485786296237,0.9418540527558326
ag,1405,0.011204375660119868,0.9601880900384455,0.9381201762852442
ag,1406,0.009350270243715807,0.9638589373097262,0.9356269051690058
ag,1407,0.008590647718091822,0.9677026446632937,0.9369301414551602
ag,1408,0.007353475198235312,0.9673261231290952,0.9425744313171035
ag,1409,0.014234457269857234,0.9540815194683977,0.9259072017922378
ag,1410,0.014144670241001642,0.9641872448391426,0.9227783866028663
ag,1411,-0.0020790146434129693,0.998771614984594,0.9567253744355858
ag,1412,0.0020853827162157592,0.9934362950358482,0.978056725890823
ag,1501,0.00011760746597163675,0.9959917050794742,0.9841677891279633
ag,1502,0.0024062601902733764,0.9906395411402231,0.9851256124859559
ag,1503,0.0016202697216958165,0.9913146452466742,0.9834040984959045
ag,1504,0.0021122762265527715,0.9909597821867459,0.9817749200414148
ag,1505,0.00318068890807744,0.9901602895968937,0.9835195800701442
ag,1506,0.0020094592460201655,0.9903241050716294,0.9829586204358458
ag,1507,0.0055447025876819555,0.9781697418925915,0.9738546415338304
ag,1508,0.012582769591305089,0.9650994000501124,0.9563225896774598
ag,1509,0.015316885643678465,0.9554162539225389,0.9302017518040062
ag,1510,0.021379451848566912,0.9507718860080798,0.9111772400184879
ag,1511,0.016108014489638188,0.9613727295772497,0.9159911889532295
ag,1512,0.0071541434312135,0.9789972116758685,0.9481793531193949
ag,1601,0.006259968323862906,0.9789398881921688,0.9544035121273714
ag,1602,0.01089214234527552,0.9679618641684966,0.947952409053237
ag,1603,0.010417674201525704,0.9709385617754572,0.9421399257233417
ag,1604,0.012138114720399957,0.9623675954287323,0.9311451563130267
ag,1605,0.014248314946369044,0.9552178571920338,0.9361758371795688
ag,1606,0.01244994230928751,0.9689133155660653,0.9247511778591575
ag,1607,0.0003520177187129221,1.0119614316705887,0.9670123601453354
ag,1608,0.002502825401356685,0.9997745436319724,0.9799365785938172
ag,1609,0.004122758804357423,0.9959528118947595,0.9851328693034923
ag,1610,0.004692546427609158,0.991117670909051,0.9820029430484303
ag,1611,0.006892879515865013,0.9886164666270169,0.9811078449434139
ag,1612,0.008234965301802026,0.9874915807208108,0.9833182347915679
ag,1701,0.01033812759672974,0.9828626087199197,0.9777474326180906
ag,1702,0.011764522486190502,0.9807057247219797,0.9695599617067489
ag,1703,0.016845419579059894,0.9710847557570625,0.9603773218004378
ag,1704,0.024544020566979588,0.9564437802079879,0.9362472300048731
ag,1705,0.017961807530687598,0.9654095890198198,0.9345469793174319
ag,1706,0.013656101021912632,0.9660291356205579,0.9317251141848482
ag,1707,0.01068532201053815,0.9741546510441643,0.9441472926683532
ag,1708,0.015375933186787559,0.9664509853855849,0.9411882368609245
ag,1709,0.013347323533611356,0.9694562973878691,0.9457028164266573
ag,1710,0.011619768318340233,0.977129387861183,0.9491675548881361
ag,1711,0.011644583747067797,0.976020446808546,0.9524293738165179
ag,1712,-0.00017497278554618953,0.9952203337907601,0.9769119483797513
al,1401,0.0003634238579306708,0.9898322521809169,0.9879390140438423
al,1402,0.0028594241213183956,0.9854293727881518,0.9860904802931306
al,1403,-0.004166572793959031,0.9999692393949081,0.9872627523545772
al,1404,-0.002028472219546963,0.9984321183407645,0.9915714550219572
al,1405,-0.0015905062063191243,0.9974371254021774,0.9915245271601106
al,1406,0.0016143518762259442,0.9916215854800079,0.9904788749997818
al,1407,0.002962930143455043,0.9904754446721492,0.9875471126870342
al,1408,0.007137356776013902,0.9832402310770381,0.9808680029630579
al,1409,0.005697201544649411,0.9878536804334045,0.973691031084939
al,1410,0.007420751452023757,0.9805675800315274,0.9667873000039318
al,1411,0.011065159437554406,0.9691901978506066,0.9492320070262809
al,1412,0.007753701683117833,0.9754519788809933,0.9452203211673502
al,1501,-0.0002938999945684877,0.9963075333298064,0.9630449206761781
al,1502,0.005046471152265576,0.986953477328285,0.9682576364439026
al,1503,0.005204430085676275,0.9872307506751034,0.9690930934795231
al,1504,0.00376981694586153,0.988878691719067,0.9711484054834273
al,1505,0.004283535424401642,0.9893989506149199,0.9763516855739949
al,1506,-0.0013125118895931684,0.9976982045341702,0.9802669796526026
al,1507,-0.0024172037243477256,0.9999260115607868,0.9837505219173052
al,1508,-0.0028651640140073646,0.9998194553762714,0.987312339216067
al,1509,-0.00220253816993333,0.9969970868708169,0.9897653821336446
al,1510,-0.006142111837058824,1.0048101405970313,0.9909096219293975
al,1511,-0.008536877435771757,1.0071967794413221,0.9946177694168139
al,1512,-0.0014838230953662657,0.997731850410408,0.9950837768900938
al,1601,-0.002381180728286338,0.9995375994209355,0.9954298306640538
al,1602,-0.0015048576691949079,0.9977678438798805,0.9954851723208731
al,1603,0.0003965730466491467,0.9953359165579085,0.9952522131916055
al,1604,0.002207067561053617,0.9927508139575327,0.9926987047019803
al,1605,0.0046110558378025706,0.987885238104388,0.9901783504518404
al,1606,0.00543550981439455,0.9882041908016092,0.9862846385654359
al,1607,0.0038429989629826973,0.9935450732064436,0.9847539012194332
al,1608,0.004591194753583624,0.9926767702721727,0.9827807856438411
al,1609,0.004421224586573289,0.9935691273481349,0.9837774521671059
al,1610,0.0006736417626135218,1.0028101251462895,0.9853397278732234
al,1611,6.606594931325618e-05,1.009754628170221,0.9857037749143187
al,1612,0.0070730822921480545,0.9869701579685329,0.98240294398185
al,1701,0.010386912700215772,0.9829260424688353,0.9740088832103019
al,1702,0.006438620082295784,0.9940199347884324,0.9713063734395383
al,1703,0.00703375410041154,0.9883453587527846,0.9765589926336864
al,1704,0.0058014874198085795,0.9944177316362729,0.9761177524301181
al,1705,0.006671697483358172,0.9911444491601269,0.9822067659559761
al,1706,0.009262853976380523,0.9863018739183482,0.9815054148112567
al,1707,0.008369992204168997,0.9899983336768444,0.9812939724826978
al,1708,0.005682080832814851,0.9946099349591946,0.9781221782891036
al,1709,0.008463268081395376,0.9901510081314436,0.981405669027815
al,1710,0.008265968278946056,0.9900155495825986,0.9818788383272787
al,1711,0.007176437957382932,0.9878500991331467,0.9821189225564763
al,1712,0.005367533868945202,0.9889168726925001,0.9811712764559152
au,1401,0.0009890968653095715,0.9877107641874312,0.988148690410692
au,1402,0.003630183338051802,0.98124389103853,0.9826111116124919
au,1403,0.006816350401920707,0.9714699979727238,0.9735521699827602
au,1404,0.010787232455748554,0.9700074665703566,0.9440527205403322
au,1405,0.01805445707727238,0.9607401025128925,0.9292384063953166
au,1406,0.016949704590535807,0.956309025788062,0.9301292366156585
au,1407,0.01336013872595351,0.9695347088616644,0.9399787441247441
au,1408,0.01569212292781379,0.9613402686639588,0.9312711998624277
au,1409,0.10718799569857615,0.7996053850499099,0.6703339072044916
au,1410,0.007888072384840853,0.9823738392718298,0.9430645266597952
au,1411,0.025573031592356816,0.8798463657316008,0.8661268983079452
au,1412,0.006804995517781444,0.9873848637276995,0.9701456129946142
au,1501,0.04589372351576238,0.9226155352013671,0.8254470706928412
au,1502,0.010549784820097307,0.9818765334050648,0.965316592968673
au,1503,0.02828709240234134,0.941972191026214,0.9048381100262085
au,1504,0.008683481692788049,0.9812549779222419,0.9606400309846628
au,1505,0.058119756934627134,0.8418932661266543,0.7852772130624595
au,1506,0.008779545396589412,0.9768990372068582,0.9600573847453795
au,1507,0.0904923269967091,0.8501337722345687,0.7104946979097064
au,1508,0.010457517586619199,0.977454072830023,0.9516316844666081
au,1509,0.030777679329867642,0.9251140497880207,0.8754288394019953
au,1510,0.016297072627050158,0.966107020720059,0.93279978478364
au,1511,0.07248147726398027,0.8927963828520147,0.7901124875647703
au,1512,0.004682442986778673,0.9824105937786412,0.9672040844616773
au,1601,0.019115353696854933,0.9377487690433011,0.9302454008675056
au,1602,0.014218388838704453,0.9733371585803898,0.9461182398853455
au,1603,0.024759842488971742,0.9779974190379415,0.965475258752613
au,1604,0.008489822481059851,0.9821915380526158,0.9566353572208244
au,1605,0.1300654039346867,0.7765341685215869,0.6567282574633142
au,1606,0.0031117789246836603,0.996854388183086,0.9785011956638487
au,1607,0.038086562454112495,0.9517940500019593,0.9139872979240521
au,1608,0.002575355967717439,1.0012463149926145,0.9857304377880297
au,1609,0.08357888764203154,0.8902732594391138,0.8326274368933188
au,1610,0.006168084669015958,0.9912241801629154,0.9872781197400596
au,1611,0.038268648292925256,0.9206923698959996,0.8638379140110928
au,1612,0.009358487341089886,0.9870512683032533,0.9874886911708403
au,1701,0.012446820104227381,0.9629958175137499,0.926664194173153
au,1702,0.020900994233538892,0.9684149958532131,0.9664386294441965
au,1703,0.03687716226338679,0.9509124369629296,0.8741631471559956
au,1704,0.01516353308701585,0.9705929836345196,0.9492996845964937
au,1705,0.03696268715694156,0.9375036851955175,0.8815321846870079
au,1706,0.015520944182453502,0.9720729084871489,0.9468742295772088
au,1707,0.016558527349873085,0.884186784802263,0.8630702986129842
au,1708,0.013213013441813977,0.969819469067068,0.9449800665873718
au,1709,0.07175227691436026,0.8761994072815901,0.7998329817385883
au,1710,0.027867725743731267,0.9401371729925351,0.8968933261206506
au,1711,0.04827823112976416,0.8736836160249547,0.7379238158186339
au,1712,0.013885685015278143,0.9711978933868548,0.9304995944692708
b,1401,0.003827387142737437,0.9904849819148867,0.9814547998771639
b,1403,0.0218825521556981,0.9432487360978073,0.919353477538027
b,1405,0.02662352808009202,0.9423960099374241,0.891780079384394
b,1407,0.0035511503356413484,0.9944035046212942,0.9793907755396213
b,1409,-0.0023581801120830664,0.9992119275532814,0.9589363967552996
b,1411,-0.003168945514165595,0.9991264261536934,0.9861524250389828
b,1501,0.005383805768371364,0.9848290854948114,0.9778583696864183
b,1503,-0.000411936153141407,0.9950348973037039,0.9889067592687861
b,1505,0.0018728151410318287,0.9885913354064352,0.9894803752977614
b,1507,0.014082214704527548,0.9675193535360198,0.9558946665917004
b,1509,0.006677618180293552,0.9857335277090435,0.9730727865091223
b,1511,0.018993865598357675,0.9595713096290202,0.9273734008377574
b,1601,0.043375751511666345,0.9291673990178395,0.8661028367178303
b,1603,0.06629515014947897,0.9059742718438138,0.821429879182364
b,1605,0.0445924834957165,0.9126349075665767,0.8266547190947218
b,1607,0.003196468188022038,1.0026541683941357,0.9696459067364901
b,1609,0.0049200782285809645,0.9964339935814739,0.989807277350253
b,1611,0.004468862875155648,0.9979789434166036,0.9813659179433833
b,1701,0.009140444741653712,0.9904512490378694,0.9837288650309903
b,1703,0.01040959816813141,0.9878423154852775,0.9794959789136822
b,1705,0.029796969618063836,0.9468749673979318,0.9204263250751491
b,1707,0.047662919871556964,0.8978408829025855,0.8058696895998633
b,1709,0.006976371730711528,0.9796972146059146,0.9535842417264581
b,1711,-0.0006852246678348008,0.9959586781482497,0.9879183991387295
bb,1404,0.01087030595690909,0.9810674743136502,0.899277306518572
bb,1405,0.02245680923770721,0.947726971670723,0.868985379458773
bb,1406,0.020357641135362953,0.9531181590790869,0.9010167970811618
bb,1407,0.023449357921191676,0.9466271012800314,0.8943852247064441
bb,1408,0.010709308615494349,0.985482079324574,0.9499821180081098
bb,1409,0.012145553462549493,0.9812109255792594,0.9573438824876934
bb,1410,0.021474774213410666,0.9612183365449888,0.9053653827671996
bb,1411,0.008795245821156969,0.9825624547248428,0.941671834762644
bb,1412,0.03408253463626866,0.9422909409726776,0.8764622120997573
bb,1501,0.009982487565988192,0.979232638493729,0.9148181050136877
bb,1502,-0.004359519641870218,1.0014894584335945,0.9649917257186497
bb,1503,-0.004672324057335692,1.002400744186433,0.9803798848715367
bb,1504,0.004213496032419462,0.990328874039133,0.9768217239870417
bb,1505,-0.015102178471076848,1.015279012679248,0.9882956471742582
bb,1506,-0.005127223818585907,1.0024022025015902,0.9920958973973095
bb,1507,-0.0008836445099034036,0.9948723387975671,0.9946533667859769
bb,1508,0.00973459072125814,0.9799693788686966,0.9748749924876399
bb,1509,-0.007461491869537724,1.005256932737462,0.9933425590800216
bb,1510,-0.0034209453732601362,0.998837874720321,0.9890212051106011
bb,1511,0.006262849364531441,0.9823594601348369,0.9730214678267086
bb,1512,0.00045827259507777093,0.9929223184340985,0.9861023933896429
bb,1601,-0.0025559764143063754,0.9981841171014121,0.9859337434791648
bb,1602,-0.0008049555050672341,0.9912270935445302,0.9934264414982766
bb,1603,-0.0009152133916518796,0.9913560156089091,0.9928936964564563
bb,1604,0.0017718659072938868,0.9794427195945173,0.9783061518268733
bb,1605,0.003406788811043079,0.9732718500019697,0.9706560189585892
bb,1606,0.0060393534678849625,0.9559324134209026,0.9418424894645647
bb,1607,0.10699061306615501,0.8212193474902851,0.6744012166923701
bb,1608,0.09505536132230538,0.8436134627975771,0.7113502603856295
bb,1609,0.0009602910363947052,1.016257680366319,0.970642238780353
bb,1610,0.15234240563659177,0.7339019692259883,0.5386121004337848
bb,1611,0.11998649432843593,0.8404424097473078,0.703216693974228
bb,1612,0.09005740961695055,0.8758280331999642,0.7739771286755425
bb,1701,0.004001737082174086,0.9971418221903676,0.973431088836439
bb,1702,0.006856304388525745,0.9912777430220288,0.9776154363759709
bb,1703,0.012283344759353674,0.979302193843526,0.9634851691324946
bb,1704,0.01443543197583594,0.9759405013926701,0.9614401027674686
bb,1705,0.02904933585154134,0.9486986733559863,0.9309981193736259
bb,1706,0.023629251172592965,0.9466059725995324,0.9024627869024464
bb,1707,0.01448467207445072,0.9647014589464795,0.9230365091959257
